"","Event","PCG","Year","Lat","Long","Depth","Duration","Temp","Salinity","Black.Sea.Bass.Abund","Red.Snapper.Abund","Scamp.Abund","Stenotomus.sp.Abund","Tomtate.Abund","Presence_absence","Max.BD.kknn","Mean.BD.kknn","BH.kknn","Max.SD.kknn","Mean.SD.kknn","SS.kknn","SR.kknn"
"3484","2011-49","P05110179324",2011,32.26447,-79.1722,49,93,19.41,36.33,0,0,0,0,0,0,6.85998971288182e-09,5.47749178605104e-09,"Max Height >0.5 m",8.69748695740373e-09,6.20374069698113e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3485","2011-49","P05110180324",2011,32.25922,-79.17435,49,95,19.41,36.33,0,0,0,0,0,0,6.45749031646273e-09,7.31498903057296e-09,"Max Height >0.5 m",9.92248512041834e-09,6.6849899753083e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3486","2011-49","P05110181324",2011,32.25125,-79.18005,49,95,19.41,36.33,0,0,0,0,0,0,4.86499270454374e-09,3.70124444967986e-09,"Max height < 0.5 m",4.42749336060995e-09,3.49124476459164e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3487","2011-50","P05110183324",2011,32.26635,-79.03067,91,94,16.94,36.14,0,0,2,0,0,0,30.5555555555556,24.8333333333333,"Max height < 0.5 m",41.6666666666667,31.1111111111111,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3488","2011-50","P05110184324",2011,32.26285,-79.03387,91,98,16.94,36.14,0,0,2,0,0,0,6.85998971288182e-09,5.47749178605104e-09,"Max Height >0.5 m",8.69748695740373e-09,6.20374069698113e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3489","2011-50","P05110185324",2011,32.25757,-79.03295,93,103,16.94,36.14,0,0,1,0,0,0,6.45749031646273e-09,7.31498903057296e-09,"Max Height >0.5 m",9.92248512041834e-09,6.6849899753083e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3490","2011-50","P05110186324",2011,32.25648,-79.0386,91,110,16.94,36.14,0,0,0,0,0,0,6.45749031646273e-09,7.31498903057296e-09,"Max Height >0.5 m",9.92248512041834e-09,6.6849899753083e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3491","2011-50","P05110187324",2011,32.25315,-79.03495,93,108,16.94,36.14,0,0,0,0,0,0,4.86499270454374e-09,3.70124444967986e-09,"Max height < 0.5 m",4.42749336060995e-09,3.49124476459164e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3492","2011-50","P05110188324",2011,32.25082,-79.03833,93,109,16.94,36.14,0,0,0,0,0,0,4.86499270454374e-09,3.70124444967986e-09,"Max height < 0.5 m",4.42749336060995e-09,3.49124476459164e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3493","2011-51","P05110190324",2011,32.28705,-79.04037,79,92,17.52,36.21,0,0,0,0,0,0,17.5,16.625,"Max height < 0.5 m",1,0.791666666666667,"No consolidated sediment","<0.3 m of Relief"
"3494","2011-51","P05110191324",2011,32.29187,-79.0415,76,93,17.52,36.21,0,0,0,0,0,0,17.5,16.625,"Max height < 0.5 m",1,0.791666666666667,"No consolidated sediment","<0.3 m of Relief"
"3495","2011-51","P05110192324",2011,32.29972,-79.04282,73,91,17.52,36.21,0,0,0,0,0,0,8.125,7.9375,"Max height < 0.5 m",4.125,2.75,"No consolidated sediment","<0.3 m of Relief"
"3496","2011-52","P05110195324",2011,32.35552,-79.04747,49,95,18.84,36.32,0,0,1,0,2,0,25,22.5,"Max Height >0.5 m",20,13.75,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3497","2011-52","P05110196324",2011,32.35198,-79.04628,49,99,18.84,36.32,0,0,0,0,1,0,1.31249803180137e-08,1.46649780086606e-08,"Max Height >0.5 m",1.42799785859989e-08,1.24599813152343e-08,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3498","2011-52","P05110197324",2011,32.3498,-79.04984,46,100,18.84,36.32,0,0,0,0,0,0,1.48749776937488e-08,1.2171231748238e-08,"Max Height >0.5 m",1.27049809478372e-08,1.11299833096756e-08,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3499","2011-52","P05110198324",2011,32.3456,-79.04925,47,98,18.84,36.32,0,0,0,0,0,0,1.48749776937488e-08,1.2171231748238e-08,"Max Height >0.5 m",1.27049809478372e-08,1.11299833096756e-08,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3500","2011-52","P05110199324",2011,32.3429,-79.04684,49,99,18.84,36.32,0,0,0,0,0,0,1.38249792683077e-08,1.36674795044916e-08,"Max Height >0.5 m",1.32999800555872e-08,1.12174831784624e-08,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3501","2011-52","P05110200324",2011,32.3371,-79.05645,52,98,18.84,36.32,0,0,1,0,0,0,1.45249782186018e-08,1.23724814464476e-08,"Max Height >0.5 m",1.19174821287564e-08,9.96623505481172e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3502","2011-53","P05110202324",2011,32.41707,-78.98782,44,93,17.97,36.24,0,0,0,0,0,0,40.7692307692308,30.9615384615385,"Max Height >0.5 m",37.6923076923077,28.8461538461538,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3503","2011-53","P05110203324",2011,32.41367,-78.99198,46,93,17.97,36.24,0,0,0,0,0,0,54,49,"Max Height >0.5 m",44.4,35.45,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3504","2011-53","P05110204324",2011,32.40967,-78.9924,44,95,17.97,36.24,0,0,0,0,1,0,54,49.0003774496353,"Max Height >0.5 m",44.4017362683223,35.4545954493096,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3505","2011-53","P05110205324",2011,32.4065,-78.99543,44,97,17.97,36.24,0,0,0,0,0,0,54,49.0802965095721,"Max Height >0.5 m",44.7693639440317,36.4276100040405,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3506","2011-53","P05110206324",2011,32.40097,-78.99952,52,97,17.97,36.24,0,0,0,0,6,0,57.1428571428571,49.1711171012602,"Max Height >0.5 m",45.1871386657964,37.5333507078416,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3507","2011-54","P05110209324",2011,32.42393,-78.97462,45,97,18.55,36.29,0,0,0,0,9,0,40.7692307692308,30.9615384615385,"Max Height >0.5 m",37.6923076923077,28.8461538461539,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3508","2011-54","P05110210324",2011,32.4271,-78.97125,45,97,18.55,36.29,0,0,0,0,1,0,48.2727272727273,38.0454545454545,"Max Height >0.5 m",36.3636363636364,25.9545454545455,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3509","2011-54","P05110211324",2011,32.43053,-78.9659,49,100,18.55,36.29,0,0,0,0,0,0,48.2727272727273,38.0454545454545,"Max Height >0.5 m",36.3636363636364,25.9545454545455,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3510","2011-54","P05110212324",2011,32.43427,-78.96178,48,100,18.55,36.29,0,0,0,0,0,0,48.2727272727273,38.0454545454545,"Max Height >0.5 m",36.3636363636364,25.9545454545455,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3511","2011-54","P05110213324",2011,32.4393,-78.95647,46,101,18.55,36.29,0,0,0,0,7,0,48.375,41.75,"Max Height >0.5 m",61.75,53.5,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3512","2011-54","P05110214324",2011,32.44207,-78.95251,48,99,18.55,36.29,0,0,0,0,0,0,48.0195212200604,41.8754630988022,"Max Height >0.5 m",60.8717583083849,52.6844898577859,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3513","2011-56","P05110223324",2011,32.33858,-79.21233,42,87,19.86,36.32,20,0,0,16,0,1,1.45249782186018e-08,1.23724814464476e-08,"Max Height >0.5 m",1.19174821287564e-08,9.96623505481172e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3514","2011-56","P05110224324",2011,32.334,-79.21272,41,83,19.86,36.32,24,0,0,1,1,1,14.25,12.0833333333333,"Max height < 0.5 m",15.6666666666667,11.25,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3515","2011-56","P05110225324",2011,32.3317,-79.20947,36,83,19.86,36.32,63,0,0,18,4,1,14.25,12.0833333333333,"Max height < 0.5 m",15.6666666666667,11.25,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3516","2011-56","P05110226324",2011,32.33437,-79.20341,42,93,19.86,36.32,61,0,0,2,13,1,14.25,12.0833333333333,"Max height < 0.5 m",15.6666666666667,11.25,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3517","2011-59","P05110242324",2011,34.27125,-76.81464,27,97,21.01,36.05,4,0,0,0,0,1,46.25,39.0625,"Max Height >0.5 m",32.5,21.15625,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3518","2011-59","P05110243324",2011,34.27117,-76.82088,26,99,21.01,36.05,2,0,0,0,0,1,46.25,39.0625,"Max Height >0.5 m",32.5,21.15625,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3519","2011-59","P05110244324",2011,34.28032,-76.82462,26,93,21.01,36.05,0,0,0,0,0,0,52.6923076923077,43.270835060522,"Max Height >0.5 m",30.3844083792875,20.9630392501657,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3520","2011-59","P05110245324",2011,34.27983,-76.8298,26,92,21.01,36.05,9,0,0,0,0,1,52.6923076923077,43.2692307692308,"Max Height >0.5 m",30.3846153846154,20.9615384615385,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3521","2011-59","P05110246324",2011,34.27585,-76.83363,26,93,21.01,36.05,7,0,0,0,0,1,52.6923076923077,43.2692307692308,"Max Height >0.5 m",30.3846153846154,20.9615384615385,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3522","2011-59","P05110247324",2011,34.27902,-76.83907,26,94,21.01,36.05,7,0,0,0,0,1,52.6923076923077,43.2692307692308,"Max Height >0.5 m",30.3846153846154,20.9615384615385,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3523","2011-60","P05110249324",2011,34.24917,-76.80479,26,94,20.86,36.02,14,0,0,0,0,1,24.0742105389553,16.6029038199692,"Max Height >0.5 m",26.8967041883516,16.5198893008703,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3524","2011-60","P05110250324",2011,34.26028,-76.80869,26,96,20.86,36.02,1,0,0,0,0,1,1.45424781923592e-08,1.30549804229843e-08,"Max Height >0.5 m",1.03774844381095e-08,7.06998939797003e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3525","2011-60","P05110251324",2011,34.26247,-76.81226,26,99,20.86,36.02,2,0,0,0,0,1,1.45424781923592e-08,1.30549804229843e-08,"Max Height >0.5 m",1.03774844381095e-08,7.06998939797003e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3526","2011-60","P05110252324",2011,34.26142,-76.81755,26,102,20.86,36.02,45,0,0,0,0,1,1.45424781923592e-08,1.30549804229843e-08,"Max Height >0.5 m",1.03774844381095e-08,7.06998939797003e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3527","2011-60","P05110253324",2011,34.26552,-76.8171,26,103,20.86,36.02,21,0,0,0,0,1,46.25,39.0625,"Max Height >0.5 m",32.5,21.15625,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3528","2011-60","P05110254324",2011,34.2657,-76.8283,27,105,20.86,36.02,5,0,0,0,7,1,46.25,39.0625,"Max Height >0.5 m",32.5,21.15625,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3529","2011-61","P05110256324",2011,34.32292,-76.89008,24,98,21.06,36.03,5,0,0,0,0,1,7.08748937172739e-09,6.52749021149214e-09,"Max Height >0.5 m",6.50999023773478e-09,4.48874326876068e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3530","2011-61","P05110257324",2011,34.31802,-76.8887,24,98,21.06,36.03,6,0,0,0,0,1,7.08748937172739e-09,6.30874053952524e-09,"Max Height >0.5 m",6.07249089380100e-09,4.05124392482689e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3531","2011-61","P05110258324",2011,34.3098,-76.8849,25,93,21.06,36.03,23,0,0,0,0,1,7.08748937172739e-09,5.10124235026798e-09,"Max Height >0.5 m",4.72499291448492e-09,2.62499606360274e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3532","2011-61","P05110259324",2011,34.30718,-76.88907,25,93,21.06,36.03,80,0,0,0,0,1,6.82498976536711e-09,5.23249215344812e-09,"Max Height >0.5 m",4.72499291448492e-09,2.60749608984538e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3533","2011-61","P05110260324",2011,34.31143,-76.89458,24,94,21.06,36.03,62,0,0,9,0,1,6.38749042143332e-09,4.92624261269447e-09,"Max Height >0.5 m",4.30499354430849e-09,2.39749640475717e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3534","2011-61","P05110261324",2011,34.31642,-76.89497,24,96,21.06,36.03,42,0,0,0,0,1,7.08748937172739e-09,6.30874053952524e-09,"Max Height >0.5 m",6.07249089380100e-09,4.05124392482689e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3535","2011-62","P05110266324",2011,33.93442,-76.75777,37,95,21.88,36.43,0,0,0,0,0,0,7.80000000000001,5,"Max height < 0.5 m",5.4,3.4,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3536","2011-62","P05110268324",2011,33.92517,-76.75485,37,94,21.88,36.43,0,0,0,0,2,0,9.74610214733599,6.99395711817213,"Max height < 0.5 m",6.13377621948828,4.05401793476129,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3537","2011-67","P05110280324",2011,33.42455,-77.05638,81,100,15.65,36.07,0,0,0,0,0,0,34.1666666666667,26.524217773514,"Max Height >0.5 m",18.7728857416934,13.3021246741534,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3538","2011-67","P05110281324",2011,33.42597,-77.05258,81,104,15.65,36.07,0,0,0,0,0,0,29.0909090909091,26.3536760348155,"Max Height >0.5 m",19.8692254904762,14.0248968048324,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3539","2011-67","P05110282324",2011,33.42802,-77.04878,75,109,15.65,36.07,0,0,0,0,0,0,29.0909090909091,26.0531261842386,"Max Height >0.5 m",21.8013316727532,15.2986556953706,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3540","2011-67","P05110283324",2011,33.43025,-77.04418,76,111,15.65,36.07,0,0,0,0,0,0,29.0909090909091,25.9090909090909,"Max Height >0.5 m",22.7272727272727,15.9090909090909,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3541","2011-67","P05110284324",2011,33.43279,-77.0363,84,111,15.65,36.07,0,0,0,0,0,0,29.0909090909091,25.9090909090909,"Max Height >0.5 m",22.7272727272727,15.9090909090909,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3542","2011-67","P05110285324",2011,33.43616,-77.02824,87,112,15.65,36.07,0,0,0,0,0,0,40.5,32.5,"Max Height >0.5 m",38.5,30,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief"
"3543","2011-70","P05110295324",2011,32.58942,-79.14312,32,91,21.02,36.33,0,0,0,0,0,0,4.02499396419086e-09,3.00999548626447e-09,"Max height < 0.5 m",3.06249540753652e-09,2.00374699521675e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3544","2011-70","P05110296324",2011,32.59038,-79.14837,32,93,21.02,36.33,4,1,0,0,0,1,3.9374940954041e-09,2.7474958799042e-09,"Max height < 0.5 m",2.92249561747771e-09,1.90749713955132e-09,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3545","2011-70","P05110297324",2011,32.58888,-79.15269,32,93,21.02,36.33,3,0,1,0,0,1,4.02499396419086e-09,3.00999548626447e-09,"Max height < 0.5 m",3.06249540753652e-09,2.00374699521675e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3546","2011-70","P05110298324",2011,32.58552,-79.15818,32,97,21.02,36.33,26,0,0,0,24,1,4.02499396419086e-09,3.00999548626447e-09,"Max height < 0.5 m",3.06249540753652e-09,2.00374699521675e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3547","2011-70","P05110299324",2011,32.58508,-79.15235,33,100,21.02,36.33,19,0,0,0,7,1,4.02499396419086e-09,3.00999548626447e-09,"Max height < 0.5 m",3.06249540753652e-09,2.00374699521675e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3548","2011-70","P05110300324",2011,32.58543,-79.146,32,101,21.02,36.33,21,0,0,0,0,1,4.02499396419086e-09,3.00999548626447e-09,"Max height < 0.5 m",3.06249540753652e-09,2.00374699521675e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3591","2011-81","P05110367324",2011,33.48612,-78.24942,21,92,27.02,36.2,54,0,0,1,9,1,39.2857142857143,34.6428571428571,"Max height < 0.5 m",21.4285714285714,15,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3592","2011-81","P05110368324",2011,33.4819,-78.25222,22,91,27.02,36.2,81,0,0,16,4,1,34.9375,28,"Max Height >0.5 m",24.5,18.78125,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3593","2011-81","P05110369324",2011,33.4781,-78.24468,22,91,27.02,36.2,66,0,0,0,2,1,34.9375,28,"Max Height >0.5 m",24.5,18.78125,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3594","2011-81","P05110370324",2011,33.47525,-78.2477,22,92,27.02,36.2,43,0,0,23,9,1,34.9375,28,"Max Height >0.5 m",24.5,18.78125,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3595","2011-81","P05110371324",2011,33.47292,-78.24348,21,92,27.02,36.2,18,0,0,4,4,1,8.57498714110227e-09,6.6499900277936e-09,"Max Height >0.5 m",5.72249141865396e-09,4.17374374112835e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3596","2011-81","P05110372324",2011,33.47105,-78.24862,23,95,27.02,36.2,55,0,0,17,10,1,8.57498714110227e-09,6.6499900277936e-09,"Max Height >0.5 m",5.72249141865396e-09,4.17374374112835e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3597","2011-82","P05110374324",2011,33.29922,-78.44842,23,87,24.34,36.36,31,0,0,7,1,1,21.6666666666667,16.6666666666667,"Max height < 0.5 m",1.66666666666667,0.833333333333334,"No consolidated sediment","<0.3 m of Relief"
"3598","2011-82","P05110375324",2011,33.2927,-78.45074,24,86,24.34,36.36,28,0,0,77,7,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3599","2011-82","P05110376324",2011,33.29013,-78.44362,24,85,24.34,36.36,17,0,0,36,21,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3600","2011-82","P05110377324",2011,33.28788,-78.45203,24,83,24.34,36.36,15,0,0,27,8,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3601","2011-82","P05110378324",2011,33.28792,-78.45797,24,86,24.34,36.36,26,0,0,22,19,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3602","2011-82","P05110379324",2011,33.28168,-78.47003,25,89,24.34,36.36,16,0,0,58,17,1,2.39749640475717e-09,1.76749734949251e-09,"Max height < 0.5 m",1.27749808428666e-09,9.71248543533012e-10,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3603","2011-83","P05110381324",2011,33.29477,-78.4346,24,98,24.31,36.35,26,0,0,2,30,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3604","2011-83","P05110382324",2011,33.29073,-78.43839,25,89,24.31,36.35,9,0,0,3,9,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3605","2011-83","P05110383324",2011,33.2858,-78.44093,24,86,24.31,36.35,6,0,0,22,7,1,6.1424907888304e-09,5.30249204847753e-09,"Max height < 0.5 m",2.85249572244831e-09,2.09124686400351e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3606","2011-83","P05110384324",2011,33.28045,-78.44456,24,88,24.31,36.35,49,0,0,28,12,1,2.39749640475717e-09,1.76749734949251e-09,"Max height < 0.5 m",1.27749808428666e-09,9.71248543533012e-10,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3607","2011-83","P05110385324",2011,33.2758,-78.44635,24,89,24.31,36.35,60,0,0,26,15,1,2.09999685088219e-09,2.07374689024616e-09,"Max height < 0.5 m",1.80249729700721e-09,1.49624775625356e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3608","2011-83","P05110386324",2011,33.27178,-78.45323,24,94,24.31,36.35,48,0,0,64,7,1,3.3249950138968e-09,5.87999118247013e-09,"Max Height >0.5 m",3.25499511886739e-09,2.51999622105863e-09,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief"
"3609","2011-84","P05110388324",2011,32.49985,-79.68595,17,86,25.28,36.3,30,0,0,32,0,1,3.76249435783059e-09,11.5,"Max Height >0.5 m",1.94117647058824,1.26470588235294,"No consolidated sediment","<0.3 m of Relief"
"3610","2011-84","P05110389324",2011,32.50042,-79.69708,17,87,25.28,36.3,19,0,0,5,0,1,3.76249435783059e-09,11.5,"Max Height >0.5 m",1.94117647058824,1.26470588235294,"No consolidated sediment","<0.3 m of Relief"
"3611","2011-84","P05110390324",2011,32.50137,-79.70222,17,87,25.28,36.3,32,0,0,7,0,1,3.76249435783059e-09,11.5,"Max Height >0.5 m",1.94117647058824,1.26470588235294,"No consolidated sediment","<0.3 m of Relief"
"3612","2011-84","P05110391324",2011,32.5044,-79.70644,16,88,25.28,36.3,86,0,0,3,5,1,3.76249435783059e-09,11.5,"Max Height >0.5 m",1.94117647058824,1.26470588235294,"No consolidated sediment","<0.3 m of Relief"
"3613","2011-84","P05110392324",2011,32.50577,-79.69952,16,91,25.28,36.3,111,0,0,0,0,1,31.4285714285714,27.3214285714286,"Max Height >0.5 m",25.2857142857143,15.8928571428571,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief"
"3614","2011-84","P05110393324",2011,32.50428,-79.69535,16,95,25.28,36.3,135,0,0,6,1,1,3.76249435783059e-09,11.5,"Max Height >0.5 m",1.94117647058824,1.26470588235294,"No consolidated sediment","<0.3 m of Relief"
