"","Event","PCG","Year","Lat","Long","Depth","Duration","Temp","Salinity","Black.Sea.Bass.Abund","Red.Porgy.Abund","Red.Snapper.Abund","Scamp.Abund","Stenotomus.sp.Abund","Tomtate.Abund","White.Grunt.Abund"
"70","2000-15","P05001066324",2000,31.13495,-79.91544,51,85,20.66,36.28,0,0,0,0,0,0,0
"71","2000-15","P05001067324",2000,31.13068,-79.91828,45,79,20.66,36.28,0,0,0,2,0,0,0
"72","2000-16","P05001069324",2000,31.12462,-79.91928,48,92,21.34,36.44,0,0,0,0,0,0,0
"73","2000-16","P05001070324",2000,31.11903,-79.92194,45,92,21.34,36.44,0,0,0,2,0,0,0
"74","2000-16","P05001071324",2000,31.11275,-79.92298,49,93,21.34,36.44,0,0,0,0,0,0,0
"75","2000-16","P05001072324",2000,31.10832,-79.92429,47,94,21.34,36.44,0,0,0,1,0,0,0
"76","2000-16","P05001073324",2000,31.10568,-79.92315,55,96,21.34,36.44,0,0,0,0,0,0,0
"77","2000-16","P05001074324",2000,31.10208,-79.92498,50,99,21.34,36.44,0,0,0,3,0,0,0
"78","2000-17","P05001076324",2000,32.79805,-78.79118,30,94,24.54,36.31,0,0,0,0,0,0,1
"79","2000-17","P05001077324",2000,32.7958,-78.79425,31,88,24.54,36.31,3,0,0,0,0,9,0
"80","2000-17","P05001078324",2000,32.79205,-78.78944,31,115,24.54,36.31,24,5,0,0,27,167,0
"81","2000-17","P05001079324",2000,32.7979,-78.78806,30,83,24.54,36.31,1,9,0,0,0,0,0
"82","2000-17","P05001080324",2000,32.79519,-78.78447,30,83,24.54,36.31,31,3,0,0,118,39,0
"83","2000-17","P05001081324",2000,32.7919,-78.78088,31,88,24.54,36.31,37,6,0,0,25,36,0
"84","2000-19","P05001090324",2000,33.1988,-77.32652,100,102,18.47,36.38,0,3,0,0,0,0,0
"85","2000-19","P05001091324",2000,33.20173,-77.32093,88,110,18.47,36.38,0,2,0,0,0,0,0
"86","2000-19","P05001092324",2000,33.20287,-77.31757,91,114,18.47,36.38,0,25,0,0,0,0,0
"87","2000-20","P05001096324",2000,33.73148,-77.28992,28,89,23.1,36.46,1,9,0,0,9,5,0
"88","2000-20","P05001097324",2000,33.73452,-77.2844,29,92,23.1,36.46,0,8,0,0,1,0,0
"89","2000-20","P05001098324",2000,33.73523,-77.29107,28,81,23.1,36.46,0,1,0,0,0,88,2
"90","2000-20","P05001099324",2000,33.74018,-77.28728,30,89,23.1,36.46,0,10,0,0,33,18,0
"91","2000-20","P05001100324",2000,33.7431,-77.28378,29,88,23.1,36.46,0,4,0,0,0,133,5
"92","2000-20","P05001101324",2000,33.74423,-77.29153,32,93,23.1,36.46,0,1,0,0,0,2,0
"93","2000-24","P05001116324",2000,34.27172,-76.81815,26,95,25.49,36.42,5,0,0,0,56,2,0
"94","2000-24","P05001117324",2000,34.27383,-76.81522,26,97,25.49,36.42,6,0,0,0,11,7,0
"95","2000-24","P05001119324",2000,34.2632,-76.81882,26,100,25.49,36.42,9,0,0,0,55,24,1
"96","2000-24","P05001121324",2000,34.26357,-76.80804,26,109,25.49,36.42,4,0,0,0,0,21,1
"97","2000-25","P05001123324",2000,34.27873,-76.84005,26,93,25.43,36.42,0,0,0,0,0,0,4
"98","2000-25","P05001124324",2000,34.28148,-76.83508,26,113,25.43,36.42,12,1,0,0,0,6,1
"99","2000-25","P05001125324",2000,34.27782,-76.8354,26,90,25.43,36.42,7,0,0,1,0,8,2
"100","2000-25","P05001126324",2000,34.28131,-76.83193,26,93,25.43,36.42,1,0,0,0,0,0,0
"101","2000-25","P05001127324",2000,34.28145,-76.82335,27,108,25.43,36.42,0,0,0,0,0,0,0
"102","2000-26","P05001132324",2000,33.8525,-76.50571,73,102,18,36.37,0,0,0,0,0,0,0
"103","2000-26","P05001133324",2000,33.85077,-76.50861,73,105,18,36.37,0,1,0,0,0,0,0
"104","2000-26","P05001134324",2000,33.84862,-76.51045,75,112,18,36.37,0,0,0,0,0,0,0
"105","2000-26","P05001135324",2000,33.84553,-76.5152,72,117,18,36.37,0,0,0,0,0,0,0
"106","2000-27","P05001139324",2000,33.83963,-76.51985,85,99,18.85,36.42,0,0,0,0,0,0,0
"107","2000-27","P05001142324",2000,33.8441,-76.51172,101,117,18.85,36.42,0,0,0,0,0,0,0
"108","2000-28","P05001144324",2000,33.93722,-76.51057,41,124,22.27,36.54,0,0,0,0,0,0,0
"109","2000-28","P05001145324",2000,33.93937,-76.50855,40,107,22.27,36.54,0,0,0,0,0,0,0
"110","2000-28","P05001146324",2000,33.94132,-76.50575,41,95,22.27,36.54,0,0,0,0,0,0,0
"111","2000-28","P05001147324",2000,33.94232,-76.51487,40,116,22.27,36.54,0,0,0,0,0,0,0
"112","2000-28","P05001149324",2000,33.93803,-76.51655,40,124,22.27,36.54,0,0,0,0,0,0,0
"113","2000-29","P05001155324",2000,33.95873,-76.49392,40,103,22.49,36.54,0,0,0,0,0,0,0
"114","2000-30","P05001158324",2000,33.92893,-76.75571,37,134,23.52,36.44,0,6,0,0,0,0,0
"115","2000-30","P05001159324",2000,33.9251,-76.75487,37,132,23.52,36.44,0,0,0,0,0,9,0
"116","2000-30","P05001160324",2000,33.92675,-76.75535,37,136,23.52,36.44,0,1,0,0,0,5,0
"117","2000-30","P05001162324",2000,33.94343,-76.7582,37,143,23.52,36.44,0,5,0,0,0,0,0
"118","2000-31","P05001165324",2000,33.96172,-76.76945,35,120,23.58,36.44,0,18,0,0,0,0,0
"119","2000-31","P05001166324",2000,33.96563,-76.7769,34,126,23.58,36.44,0,12,0,0,0,0,0
"120","2000-31","P05001167324",2000,33.9673,-76.78052,33,133,23.58,36.44,0,8,0,0,0,0,0
"121","2000-31","P05001168324",2000,33.96887,-76.78432,34,139,23.58,36.44,0,0,0,0,0,0,0
"122","2000-31","P05001169324",2000,33.96813,-76.77724,34,145,23.58,36.44,0,25,0,0,0,0,0
"123","2000-31","P05001170324",2000,33.96665,-76.77168,34,148,23.58,36.44,0,0,0,0,0,0,0
"124","2000-32","P05001172324",2000,33.86238,-76.73409,39,91,23.06,36.49,0,0,0,0,0,0,0
"125","2000-32","P05001173324",2000,33.8638,-76.73448,39,101,23.06,36.49,0,1,0,0,0,0,0
"126","2000-32","P05001174324",2000,33.87568,-76.73427,39,103,23.06,36.49,0,0,0,0,0,0,0
"127","2000-32","P05001175324",2000,33.86853,-76.72587,39,91,23.06,36.49,0,0,0,0,0,0,0
"128","2000-32","P05001177324",2000,33.85762,-76.72385,39,105,23.06,36.49,0,0,0,0,0,0,0
"129","2000-33","P05001179324",2000,33.8184,-77.27068,28,91,22.61,36.5,0,0,0,0,0,41,3
"130","2000-33","P05001180324",2000,33.81835,-77.27309,27,92,22.61,36.5,0,6,0,0,0,0,17
"131","2000-33","P05001181324",2000,33.82152,-77.26698,28,96,22.61,36.5,0,1,0,0,0,0,15
"132","2000-33","P05001182324",2000,33.82443,-77.2659,29,99,22.61,36.5,0,27,0,0,0,0,8
"133","2000-33","P05001183324",2000,33.8255,-77.26752,29,104,22.61,36.5,0,1,0,0,0,4,7
"134","2000-33","P05001184324",2000,33.83128,-77.26595,29,108,22.61,36.5,0,1,0,0,0,0,1
"135","2000-34","P05001186324",2000,33.83332,-77.2641,29,107,22.56,36.47,0,0,0,0,0,0,69
"136","2000-34","P05001187324",2000,33.83635,-77.26511,28,116,22.56,36.47,0,0,0,0,0,0,8
"137","2000-34","P05001188324",2000,33.83828,-77.26595,29,119,22.56,36.47,6,6,0,0,36,0,2
"138","2000-34","P05001189324",2000,33.84272,-77.2652,28,122,22.56,36.47,0,5,0,0,0,0,7
"139","2000-34","P05001190324",2000,33.84682,-77.27151,30,125,22.56,36.47,0,0,0,0,0,0,0
"140","2000-34","P05001191324",2000,33.85243,-77.26575,29,128,22.56,36.47,0,0,0,0,0,0,0
"141","2000-35","P05001193324",2000,33.84863,-77.28443,30,150,NA,NA,0,15,0,0,1,4,3
"142","2000-35","P05001194324",2000,33.85102,-77.28535,31,138,NA,NA,0,2,0,0,0,0,17
"143","2000-35","P05001195324",2000,33.85413,-77.28755,30,121,NA,NA,3,1,0,0,0,50,36
"144","2000-35","P05001196324",2000,33.85688,-77.28772,29,113,NA,NA,0,5,0,0,0,109,4
"145","2000-35","P05001197324",2000,33.86102,-77.28867,29,102,NA,NA,0,2,0,0,0,0,6
"146","2000-35","P05001198324",2000,33.86526,-77.2892,28,87,NA,NA,0,7,0,0,0,0,0
"147","2000-36","P05001200324",2000,31.43943,-80.35615,33,93,24.03,36.36,7,0,0,0,12,1,0
"148","2000-36","P05001201324",2000,31.44058,-80.34973,33,99,24.03,36.36,11,1,0,0,17,83,0
"149","2000-36","P05001202324",2000,31.44063,-80.34544,32,106,24.03,36.36,1,0,0,0,0,16,0
"150","2000-36","P05001203324",2000,31.43672,-80.34937,33,103,24.03,36.36,30,0,0,0,58,29,0
"151","2000-36","P05001204324",2000,31.4354,-80.34972,33,105,24.03,36.36,17,0,0,0,72,33,0
"152","2000-36","P05001205324",2000,31.42838,-80.35313,33,101,24.03,36.36,8,7,0,0,6,16,0
"153","2000-37","P05001208324",2000,31.56817,-80.36305,28,94,28.09,36.65,30,0,0,0,0,47,0
"154","2000-37","P05001209324",2000,31.57453,-80.364,28,107,28.09,36.65,23,0,0,0,0,45,0
"155","2000-37","P05001210324",2000,31.57912,-80.36673,29,113,28.09,36.65,0,0,0,0,0,107,0
"156","2000-37","P05001211324",2000,31.58155,-80.36697,28,122,28.09,36.65,0,0,0,0,0,96,0
"157","2000-38","P05001214324",2000,31.68063,-80.33248,26,92,28.07,36.65,16,0,0,0,1,8,0
"158","2000-38","P05001215324",2000,31.68267,-80.32795,25,102,28.07,36.65,103,0,0,0,1,29,0
"159","2000-38","P05001216324",2000,31.68385,-80.32353,27,109,28.07,36.65,81,0,0,0,0,45,0
"160","2000-38","P05001217324",2000,31.68865,-80.32432,27,118,28.07,36.65,0,0,0,0,2,2,0
"161","2000-38","P05001218324",2000,31.68577,-80.33165,28,121,28.07,36.65,3,0,0,0,0,5,0
"162","2000-38","P05001219324",2000,31.68363,-80.33705,26,122,28.07,36.65,98,0,0,0,0,10,0
"163","2000-39","P05001221324",2000,31.69053,-80.34775,27,89,28.08,36.63,0,0,0,0,0,0,0
"164","2000-39","P05001222324",2000,31.68922,-80.34879,26,91,28.08,36.63,0,0,0,0,0,0,0
"165","2000-39","P05001223324",2000,31.68517,-80.35195,27,91,28.08,36.63,6,0,0,0,0,5,0
"166","2000-40","P05001226324",2000,31.73913,-80.21841,32,98,24.35,36.39,2,0,0,0,0,0,0
"167","2000-40","P05001229324",2000,31.73558,-80.22665,29,103,24.35,36.39,1,0,0,0,0,1,0
"168","2000-40","P05001230324",2000,31.73562,-80.2296,30,105,24.35,36.39,13,0,0,0,0,21,0
"169","2000-41","P05001232324",2000,31.57548,-80.75647,17,92,28.38,36.85,0,0,0,0,0,0,0
"170","2000-41","P05001233324",2000,31.5823,-80.7579,17,90,28.38,36.85,4,0,0,0,4,0,0
"171","2000-41","P05001235324",2000,31.59,-80.76677,17,92,28.38,36.85,45,0,0,0,11,1,0
"172","2000-42","P05001239324",2000,31.59723,-80.79183,17,88,28.5,36.9,19,0,0,0,1,8,0
"173","2000-42","P05001241324",2000,31.5924,-80.79155,17,84,28.5,36.9,43,0,0,0,0,25,0
"174","2000-42","P05001242324",2000,31.59607,-80.79802,17,79,28.5,36.9,1,0,0,0,0,0,0
"175","2000-42","P05001243324",2000,31.59537,-80.8032,17,81,28.5,36.9,22,0,0,0,13,13,0
"176","2000-43","P05001246324",2000,32.35015,-79.05098,49,96,25.2,36.35,0,0,0,0,0,63,0
"177","2000-43","P05001247324",2000,32.35087,-79.04905,45,104,25.2,36.35,0,0,0,0,0,7,0
"178","2000-43","P05001248324",2000,32.35355,-79.04758,47,109,25.2,36.35,0,0,0,1,0,61,0
"179","2000-43","P05001249324",2000,32.35618,-79.04327,49,89,25.2,36.35,0,2,0,2,0,66,0
"180","2000-43","P05001250324",2000,32.35717,-79.04505,51,90,25.2,36.35,0,0,0,0,0,0,0
"181","2000-43","P05001251324",2000,32.3571,-79.04623,50,92,25.2,36.35,0,0,0,4,0,35,0
"182","2000-45","P05001260324",2000,32.33882,-79.0558,52,91,25.28,36.36,0,1,0,0,0,0,0
"183","2000-45","P05001261324",2000,32.34332,-79.04617,49,89,25.28,36.36,0,0,0,0,0,0,0
"184","2000-45","P05001262324",2000,32.36263,-79.05067,45,84,25.28,36.36,0,0,0,0,0,0,0
"185","2000-45","P05001263324",2000,32.35067,-79.04214,53,86,25.28,36.36,0,0,0,0,0,0,0
"186","2000-45","P05001264324",2000,32.36627,-79.03273,57,92,25.28,36.36,0,0,0,0,0,0,0
"187","2000-45","P05001265324",2000,32.35243,-79.03263,60,94,25.28,36.36,0,0,0,1,0,49,0
"188","2000-46","P05001272324",2000,32.48233,-78.83064,50,86,24.3,36.4,0,0,0,2,0,0,0
"189","2000-47","P05001274324",2000,32.58818,-79.15063,33,96,25.98,36.32,0,1,0,1,0,12,7
"190","2000-47","P05001275324",2000,32.5856,-79.1535,33,110,25.98,36.32,5,0,0,0,0,0,0
"191","2000-47","P05001276324",2000,32.58687,-79.15003,32,76,25.98,36.32,3,0,0,1,0,0,0
"192","2000-48","P05001278324",2000,31.26858,-79.87225,49,96,26.4,36.35,0,0,0,1,0,26,0
"193","2000-48","P05001279324",2000,31.26612,-79.87289,51,96,26.4,36.35,0,0,2,0,0,21,0
"194","2000-48","P05001280324",2000,31.26172,-79.87445,50,95,26.4,36.35,0,0,2,1,0,1,0
"195","2000-48","P05001281324",2000,31.25892,-79.87659,47,107,26.4,36.35,0,0,0,0,0,0,0
"196","2000-48","P05001282324",2000,31.25697,-79.87666,51,108,26.4,36.35,0,0,0,1,0,7,0
"197","2000-48","P05001283324",2000,31.2552,-79.87685,51,111,26.4,36.35,0,0,0,0,0,1,1
"198","2000-49","P05001285324",2000,31.25398,-79.87772,50,90,24.14,36.54,0,0,0,0,0,0,0
"199","2000-49","P05001286324",2000,31.25288,-79.87908,47,94,24.14,36.54,0,0,0,0,0,29,0
"200","2000-49","P05001287324",2000,31.25077,-79.87997,47,77,24.14,36.54,0,0,0,0,0,0,0
"201","2000-49","P05001289324",2000,31.24638,-79.88039,49,102,24.14,36.54,0,0,0,1,0,0,0
"202","2000-50","P05001292324",2000,31.23683,-79.8842,48,94,23.37,36.6,0,0,0,0,0,0,0
"203","2000-50","P05001293324",2000,31.23503,-79.88525,47,100,23.37,36.6,0,0,0,2,0,3,0
"204","2000-50","P05001294324",2000,31.23305,-79.88562,48,105,23.37,36.6,0,0,0,0,0,0,0
"205","2000-50","P05001296324",2000,31.23005,-79.88645,48,109,23.37,36.6,0,0,1,0,0,8,0
"206","2000-50","P05001297324",2000,31.2286,-79.88586,50,108,23.37,36.6,0,1,0,0,0,5,0
"207","2000-51","P05001299324",2000,31.07022,-80.02969,48,96,24.24,36.54,0,1,0,0,0,0,0
"208","2000-51","P05001301324",2000,31.06477,-80.03362,48,99,24.24,36.54,0,11,0,1,0,0,0
"209","2000-51","P05001302324",2000,31.06423,-80.03715,47,102,24.24,36.54,0,0,0,0,0,9,0
"210","2000-51","P05001303324",2000,31.05802,-80.03674,47,102,24.24,36.54,0,6,0,0,0,1,0
"211","2000-51","P05001304324",2000,31.05462,-80.03561,46,107,24.24,36.54,0,0,0,0,0,0,0
"212","2000-54","P05001310324",2000,30.44503,-80.20562,50,97,21.64,36.43,0,0,0,2,0,0,0
"213","2000-54","P05001311324",2000,30.44033,-80.20792,49,101,21.64,36.43,0,0,0,0,0,0,0
"214","2000-54","P05001312324",2000,30.43477,-80.208,56,120,21.64,36.43,0,3,0,1,0,0,0
"215","2000-54","P05001313324",2000,30.4298,-80.20979,52,119,21.64,36.43,0,0,0,0,0,0,0
"216","2000-54","P05001314324",2000,30.4274,-80.21005,53,124,21.64,36.43,0,0,0,0,0,0,0
"217","2000-54","P05001315324",2000,30.4251,-80.21077,52,132,21.64,36.43,0,1,0,0,0,0,0
"218","2000-55","P05001317324",2000,30.4211,-80.21277,49,89,21.91,36.49,0,0,0,0,0,0,0
"219","2000-57","P05001322324",2000,30.0239,-80.27925,54,94,23.3,36.49,0,0,0,0,0,12,0
"220","2000-57","P05001323324",2000,30.02005,-80.2802,51,98,23.3,36.49,0,4,0,2,0,0,0
"221","2000-57","P05001324324",2000,30.01792,-80.28053,51,103,23.3,36.49,0,3,0,1,0,0,0
"222","2000-57","P05001325324",2000,30.01218,-80.28072,50,105,23.3,36.49,0,2,0,0,0,0,0
"223","2000-57","P05001326324",2000,30.01023,-80.27995,51,106,23.3,36.49,0,8,0,0,0,2,0
"224","2000-57","P05001327324",2000,30.00807,-80.2801,51,111,23.3,36.49,0,1,0,0,0,5,0
"225","2000-59","P05001336324",2000,28.95302,-80.18145,54,97,21.62,36.49,0,0,2,0,0,20,0
"226","2000-59","P05001337324",2000,28.95643,-80.18262,50,115,21.62,36.49,0,0,0,0,0,0,0
"227","2000-59","P05001338324",2000,28.96335,-80.18291,54,117,21.62,36.49,0,0,0,1,0,0,0
"228","2000-59","P05001339324",2000,28.9686,-80.18373,53,122,21.62,36.49,0,0,0,2,0,19,0
"229","2000-66","P05001352324",2000,32.432,-78.98525,43,90,25.38,36.47,0,0,0,0,0,0,0
"230","2000-66","P05001353324",2000,32.43098,-78.9691,46,96,25.38,36.47,0,0,0,0,0,0,0
"231","2000-66","P05001354324",2000,32.4279,-78.97203,45,96,25.38,36.47,0,0,0,0,0,0,0
"232","2000-66","P05001355324",2000,32.42428,-78.97532,45,97,25.38,36.47,0,4,0,0,0,0,0
"233","2000-66","P05001356324",2000,32.41903,-78.98562,43,96,25.38,36.47,0,0,0,0,0,0,0
"234","2000-66","P05001357324",2000,32.4148,-78.99067,45,96,25.38,36.47,0,0,0,0,0,47,0
"235","2000-67","P05001359324",2000,32.43545,-78.96143,45,89,25.6,36.43,0,1,0,1,0,0,0
"236","2000-69","P05001363324",2000,32.28338,-79.72131,25,97,25.42,36.46,47,0,0,0,1,41,0
"237","2000-69","P05001364324",2000,32.27815,-79.72157,25,99,25.42,36.46,47,2,0,0,6,37,0
"238","2000-69","P05001365324",2000,32.27577,-79.72642,26,96,25.42,36.46,31,0,0,0,1,32,0
"239","2000-69","P05001366324",2000,32.27853,-79.72625,26,99,25.42,36.46,15,0,0,0,0,37,0
"240","2000-69","P05001367324",2000,32.28063,-79.72797,25,104,25.42,36.46,9,0,0,0,0,0,0
"241","2000-69","P05001368324",2000,32.28442,-79.71413,24,87,25.42,36.46,101,0,0,0,28,22,0
"242","2000-70","P05001370324",2000,32.79788,-78.64125,33,101,26.1,36.45,0,3,0,0,0,73,1
"243","2000-70","P05001371324",2000,32.79365,-78.64477,33,93,26.1,36.45,0,5,0,0,0,169,0
"244","2000-70","P05001372324",2000,32.79165,-78.64077,33,98,26.1,36.45,0,9,0,0,0,46,0
"245","2000-70","P05001373324",2000,32.78965,-78.64557,33,97,26.1,36.45,2,4,0,0,0,48,0
"246","2000-70","P05001374324",2000,32.78413,-78.64935,33,98,26.1,36.45,7,1,0,0,142,174,0
"247","2000-70","P05001375324",2000,32.78253,-78.65145,32,103,26.1,36.45,26,1,0,0,201,50,1
"248","2000-71","P05001377324",2000,32.68283,-78.55475,45,92,25.51,36.47,0,1,0,0,0,0,1
"249","2000-71","P05001379324",2000,32.67257,-78.56023,44,103,25.51,36.47,0,3,0,0,0,0,0
"250","2000-71","P05001381324",2000,32.66627,-78.56094,47,119,25.51,36.47,0,4,0,1,0,0,2
"251","2000-76","P05001412324",2000,32.86808,-78.24989,45,96,25.06,36.58,0,0,0,0,0,0,0
"252","2000-76","P05001413324",2000,32.86575,-78.2489,50,98,25.06,36.58,0,0,0,0,0,0,0
"253","2000-76","P05001414324",2000,32.85678,-78.2528,50,92,25.06,36.58,0,0,0,0,0,0,0
"254","2000-76","P05001416324",2000,32.8542,-78.25742,47,91,25.06,36.58,0,0,0,0,0,0,0
"255","2000-77","P05001419324",2000,32.7188,-78.52165,44,90,23.05,36.39,0,0,0,2,0,8,0
