"","Valid_Video","PCG","EVENT","PID","Coll","Gear_ID","Data.Source","GMT","Day","Month","Year","Latitude","Longitude","Stat_Depth","Samp_Depth","Samp_Dur","Station.Number","Station_Code","Pressure","Depth","Temp","Salinity","Oxygen","CHLA","PO4","NO2","NO3","Backscatter","PAR","Turbidity","Camera_A","Camera_A2","Camera_C","Camera_C2","Camera_CO","Camera_I","Camera_T","CameraBrandA","CameraBrandA2","CameraBrandC","CameraBrandC2","CameraBrandCO","CameraBrandI","CameraBrand","CameraModelA","CameraModelA2","CameraModelC","CameraModelC2","CameraModelCO","CameraModelI","CameraModel","Reader.InitialsA","Reader.InitialsA2","Date.ReadA","Date.ReadA2","Reviewer.InitialsA","Reviewer.InitialsA2","Date.ReviewedA","Date.ReviewedA2","No.Readable.FramesA","No.Readable.FramesA2","Video.ReadableA","Video.ReadableA2","Primary.ReasonA","Primary.ReasonA2","Camera_Dark","Camera_Bounces","Camera_Moves","Camera_Obstruction","Camera_Focus","Camera_Turbidity","Max_Biota_Density","Mean_Biota_Density","Biota_Height","Max_Substrate_Density","Mean_Substrate_Density","Substrate_Size","Substrate_Relief","Current_Direction","Current_Magnitude","MeanCountA","MeanCountA2","Abund01.A","Abund01.A2","Abund01","MaxN.A","MaxN.A2","MaxN","which.max"
"11","Yes","T60144103324","2014-1171","T60",144103,"324","SEFIS","20:17",19,8,2014,29.07,-80.55,25,25,81,5407,"Random",28.87,20,22.55,36.38,6.37,3.49,NA,NA,NA,0.223825,105.75,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero/Flat Housing",NA,NA,NA,NA,"DJB","DJB","1/29/2015","1/30/2015","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",30,27.5,"Max Height >0.5 m",20,12.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0.07,0.1,1,1,1,1,1,1,"A Camera"
"12","Yes","T60144119324","2014-1175","T60",144119,"324","SEFIS","17:55",9,9,2014,31.3,-79.86,52,52,78,5378,"Random",82.69,57,27.06,36.19,6.09,1.47,NA,NA,NA,0.1819,5.26,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"ZHS","ZHS","1/21/2015","1/26/2015","WAM","","3/2/2015","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",30,27.5,"Max Height >0.5 m",45,40,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.68,2.24,1,1,1,2,4,4,"A2 Camera"
"13","Yes","T60144126324","2014-1176","T60",144126,"324","SEFIS","20:19",9,9,2014,31.24,-79.88,49,49,88,5243,"Random",81.07,56,27.36,36.16,6.06,1.4,NA,NA,NA,0.2405,5.57,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"KCG","KCG","1/9/2015","1/9/2015","","","","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Moves, but Readable","No Obstruction","Focused","Fair",40,25,"Max height < 0.5 m",50,30,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0,0.1,0,1,1,0,2,2,"A2 Camera"
"14","Yes","T60144154324","2014-1181","T60",144154,"324","SEFIS","14:48",11,9,2014,30.51,-80.26,47,47,81,3035,"Random",63.61,44,27.18,36.24,6.22,1.37,NA,NA,NA,0.1917,88.08,NA,1,1,1,NA,NA,NA,NA,"Canon","GoPro","GoPro",NA,NA,NA,NA,"HF S200","HD Hero3/Deepwater Housing","HD Hero3/Deepwater Housing",NA,NA,NA,NA,"ZHS","ZHS","1/8/2015","1/8/2015","WAM","","2/27/2015","",41,41,"Yes","Yes","","","Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",30,27.5,"Max Height >0.5 m",40,35,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,0.05,0,1,1,0,1,1,"A2 Camera"
"16","Yes","P05110060324","2011-29","P05",110060,"324","MARMAP","21:19",13,5,2011,33.94,-76.52,41,41,85,2113,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"ZHS",NA,"3/23/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",30,17.5,"Max height < 0.5 m",3,2,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Cross","Weak",0.39,NA,1,NA,1,3,NA,3,"A Camera"
"17","Yes","P05110062324","2011-29","P05",110062,"324","MARMAP","21:31",13,5,2011,33.94,-76.51,41,41,90,2117,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"ZHS",NA,"3/26/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Moves, but Readable","No Obstruction","Focused","Clear",60,35,"Max height < 0.5 m",5,2.5,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Towards","Weak",0.8,NA,1,NA,1,5,NA,5,"A Camera"
"18","Yes","P05110130324","2011-42","P05",110130,"324","MARMAP","15:22",18,5,2011,33.78,-76.84,39,39,98,2252,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"9/13/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,27,"Max height < 0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0.05,NA,1,NA,1,1,NA,1,"A Camera"
"19","Yes","P05110132324","2011-42","P05",110132,"324","MARMAP","15:35",18,5,2011,33.78,-76.85,38,38,125,2052,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"CMS",NA,"7/2/2012",NA,"ZHS",NA,"10/31/2012",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",70,70,"Max height < 0.5 m",30,30,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Towards","Weak",0.44,NA,1,NA,1,1,NA,1,"A Camera"
"20","Yes","P05110162324","2011-47","P05",110162,"324","MARMAP","17:47",24,5,2011,32.05,-79.42,52,52,92,506,"Random",58.25,58.2,19.62,36.32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"5/28/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",90,85,"Max height < 0.5 m",90,55,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",1.2,NA,1,NA,1,3,NA,3,"A Camera"
"21","Yes","P05110164324","2011-47","P05",110164,"324","MARMAP","18:01",24,5,2011,32.04,-79.43,48,48,90,501,"Random",58.25,58.2,19.62,36.32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"9/10/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",90,60,"Max height < 0.5 m",90,50,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.17,NA,1,NA,1,1,NA,1,"A Camera"
"22","Yes","P05110165324","2011-47","P05",110165,"324","MARMAP","18:08",24,5,2011,32.04,-79.43,51,51,91,498,"Random",58.25,58.2,19.62,36.32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"ZHS",NA,"4/9/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",80,57.5,"Max height < 0.5 m",15,12.5,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Away","Weak",0.15,NA,1,NA,1,1,NA,1,"A Camera"
"23","Yes","P05110166324","2011-47","P05",110166,"324","MARMAP","18:13",24,5,2011,32.03,-79.44,48,48,93,495,"Random",58.25,58.2,19.62,36.32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"7/30/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","Bounces, but Readable","Doesn't Move","No Obstruction","Focused","Clear",90,60,"Max Height >0.5 m",90,50,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Towards","Weak",0.71,NA,1,NA,1,2,NA,2,"A Camera"
"24","Yes","P05110176324","2011-49","P05",110176,"324","MARMAP","11:04",25,5,2011,32.28,-79.16,50,50,92,792,"Random",55.52,55.49,19.41,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"7/20/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",40,32.5,"Max Height >0.5 m",50,32.5,">50% Consolidated Sediment > 1 m in diameter",">1 m of Relief","Cross","Weak",0.32,NA,1,NA,1,2,NA,2,"A Camera"
"25","Yes","P05110180324","2011-49","P05",110180,"324","MARMAP","11:30",25,5,2011,32.26,-79.17,49,49,95,719,"Random",55.52,55.49,19.41,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"6/21/2012",NA,"ZHS",NA,"7/3/2012",NA,41,NA,"Yes",NA,"",NA,"Not Dark","Bounces, but Readable","Doesn't Move","No Obstruction","Focused","Clear",90,47.5,"Max Height >0.5 m",100,51,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.41,NA,1,NA,1,2,NA,2,"A Camera"
"26","Yes","P05110181324","2011-49","P05",110181,"324","MARMAP","11:39",25,5,2011,32.25,-79.18,49,49,95,635,"Random",55.52,55.49,19.41,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"6/22/2012",NA,"ZHS",NA,"7/5/2012",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,25.5,"Max height < 0.5 m",70,40,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Current Direction Unknown","Weak",0.93,NA,1,NA,1,3,NA,3,"A Camera"
"27","Yes","P05110196324","2011-52","P05",110196,"324","MARMAP","20:36",25,5,2011,32.35,-79.05,49,49,99,952,"Random",51.42,51.12,18.84,36.32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"7/25/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",95,67.5,"Max Height >0.5 m",90,70,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Current Direction Unknown","Weak",1,NA,1,NA,1,1,NA,1,"A Camera"
"28","Yes","P05110199324","2011-52","P05",110199,"324","MARMAP","20:55",25,5,2011,32.34,-79.05,49,49,99,905,"NonRandom",51.42,51.12,18.84,36.32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"7/31/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",90,65,"Max Height >0.5 m",25,15,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Cross","Weak",2,NA,1,NA,1,2,NA,2,"A Camera"
"29","Yes","P05110202324","2011-53","P05",110202,"324","MARMAP","11:00",26,5,2011,32.42,-78.99,44,44,93,1013,"Random",60.94,60.59,17.97,36.24,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"8/1/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",30,22.5,"Max height < 0.5 m",60,37.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.1,NA,1,NA,1,1,NA,1,"A Camera"
"30","Yes","P05110203324","2011-53","P05",110203,"324","MARMAP","11:07",26,5,2011,32.41,-78.99,46,46,93,1003,"Random",60.94,60.59,17.97,36.24,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"8/3/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","Bounces, but Readable","Doesn't Move","No Obstruction","Focused","Clear",50,40,"Max height < 0.5 m",65,37.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0.07,NA,1,NA,1,1,NA,1,"A Camera"
"31","Yes","P05110209324","2011-54","P05",110209,"324","MARMAP","14:00",26,5,2011,32.42,-78.97,45,45,97,1016,"Random",57.01,56.63,18.55,36.29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"7/31/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",75,57.5,"Max Height >0.5 m",40,40,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.12,NA,1,NA,1,1,NA,1,"A Camera"
"32","Yes","P05110212324","2011-54","P05",110212,"324","MARMAP","14:16",26,5,2011,32.43,-78.96,48,48,100,1036,"Random",57.01,56.63,18.55,36.29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"8/10/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",60,45,"Max Height >0.5 m",85,45,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Away","Weak",0.02,NA,1,NA,1,1,NA,1,"A Camera"
"33","Yes","P05110213324","2011-54","P05",110213,"324","MARMAP","14:22",26,5,2011,32.44,-78.96,46,46,101,1039,"Random",57.01,56.63,18.55,36.29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"8/10/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",40,35,"Max Height >0.5 m",90,55,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Current Direction Unknown","Weak",0.05,NA,1,NA,1,1,NA,1,"A Camera"
"34","Yes","P05110214324","2011-54","P05",110214,"324","MARMAP","14:30",26,5,2011,32.44,-78.95,48,48,99,1042,"Random",57.01,56.63,18.55,36.29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"8/10/2012",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",70,60,"Max Height >0.5 m",75,72.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.37,NA,1,NA,1,2,NA,2,"A Camera"
"35","Yes","P05110274324","2011-66","P05",110274,"324","MARMAP","11:03",12,6,2011,33.49,-77.03,41,41,90,NA,"Recon",47.44,48,20.86,36.39,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"4/16/2012",NA,"ZHS",NA,"6/21/2012",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",85,72.5,"Max height < 0.5 m",25,12.5,"> 50% consolidated sediment <1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.05,NA,1,NA,1,1,NA,1,"A Camera"
"36","Yes","P05110284324","2011-67","P05",110284,"324","MARMAP","14:57",12,6,2011,33.43,-77.04,84,84,111,3066,"ReconConv",105.45,105.54,15.65,36.07,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"NAM",NA,"5/10/2012",NA,"ZHS",NA,"6/14/2012",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,50,"Max Height >0.5 m",70,37.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0.12,NA,1,NA,1,1,NA,1,"A Camera"
